4	2026-09-10T22:14:58.278377466+0100	515	32	463	1	1
6	2026-09-10T22:14:58.330384189+0100	562	32	510	1	464
8	2026-09-10T22:14:58.787861352+0100	514	32	462	464	511
10	2026-09-10T22:14:58.790449593+0100	32820	32	32768	511	926
12	2026-09-10T22:14:58.791426932+0100	32820	32	32768	33279	926
14	2026-09-10T22:14:58.791625007+0100	3466	32	3414	66047	926
