===== evidence/http_allowed.pcapng =====
1	0.000000000	192.168.214.128	56782	192.168.214.128	80	0x0002			
2	0.001217204	192.168.214.128	80	192.168.214.128	56782	0x0012			
4	0.003076919	192.168.214.128	56782	192.168.214.128	80	0x0018		/firewall_lab.html	
6	0.088519672	192.168.214.128	80	192.168.214.128	56782	0x0018		/firewall_lab.html	200
===== evidence/http_blocked.pcapng =====
1	0.000000000	192.168.214.50	12345	192.168.214.128	80	0x0002			
2	0.001703945	192.168.214.50	12345	192.168.214.128	80	0x0002	1		
3	2.051069157	192.168.214.50	12345	192.168.214.128	80	0x0002	1		
4	2.052848743	192.168.214.50	12345	192.168.214.128	80	0x0002	1		
5	4.127817929	192.168.214.50	12345	192.168.214.128	80	0x0002	1		
6	4.129264221	192.168.214.50	12345	192.168.214.128	80	0x0002	1		
